NAME,B01003_001E,B06011_001E,state,county,year
"Alexander County, Illinois",6011,21691,17,003,2020
"Boone County, Illinois",53293,31419,17,007,2020
"Brown County, Illinois",6599,31299,17,009,2020
"Calhoun County, Illinois",4782,29680,17,013,2020
"Carroll County, Illinois",14398,30087,17,015,2020
"Champaign County, Illinois",210006,29941,17,019,2020
"Clark County, Illinois",15602,33937,17,023,2020
"Clay County, Illinois",13217,28349,17,025,2020
"Coles County, Illinois",51065,25077,17,029,2020
"Cook County, Illinois",5169517,35336,17,031,2020
"Cumberland County, Illinois",10787,30249,17,035,2020
"DeKalb County, Illinois",104588,28594,17,037,2020
"Douglas County, Illinois",19551,30706,17,041,2020
"Edgar County, Illinois",17272,27443,17,045,2020
"Edwards County, Illinois",6431,30488,17,047,2020
"Fayette County, Illinois",21418,24925,17,051,2020
"Ford County, Illinois",13155,30420,17,053,2020
"Fulton County, Illinois",34654,28109,17,057,2020
"Gallatin County, Illinois",4983,27145,17,059,2020
"Grundy County, Illinois",50798,40051,17,063,2020
"Hancock County, Illinois",17820,30245,17,067,2020
"Hardin County, Illinois",3890,24543,17,069,2020
"Henry County, Illinois",49032,31448,17,073,2020
"Iroquois County, Illinois",27437,27197,17,075,2020
"Jasper County, Illinois",9547,28002,17,079,2020
"Jefferson County, Illinois",37774,28290,17,081,2020
"Jersey County, Illinois",21776,32675,17,083,2020
"Jo Daviess County, Illinois",21429,31793,17,085,2020
"Johnson County, Illinois",12391,29502,17,087,2020
"Kane County, Illinois",531756,35433,17,089,2020
"Kankakee County, Illinois",109924,29164,17,091,2020
"Kendall County, Illinois",127583,42266,17,093,2020
"Knox County, Illinois",50052,25432,17,095,2020
"Lake County, Illinois",699682,38923,17,097,2020
"LaSalle County, Illinois",108998,31078,17,099,2020
"Lawrence County, Illinois",15830,27404,17,101,2020
"Lee County, Illinois",34204,31563,17,103,2020
"Livingston County, Illinois",35757,31186,17,105,2020
"Logan County, Illinois",28818,31358,17,107,2020
"McDonough County, Illinois",30107,21583,17,109,2020
"McHenry County, Illinois",307291,40383,17,111,2020
"McLean County, Illinois",172164,34713,17,113,2020
"Macon County, Illinois",104688,30147,17,115,2020
"Macoupin County, Illinois",45243,29242,17,117,2020
"Madison County, Illinois",264403,33122,17,119,2020
"Marshall County, Illinois",11562,29963,17,123,2020
"Mason County, Illinois",13486,27891,17,125,2020
"Menard County, Illinois",12261,41068,17,129,2020
"Mercer County, Illinois",15503,31169,17,131,2020
"Montgomery County, Illinois",28598,29000,17,135,2020
"Morgan County, Illinois",34012,28341,17,137,2020
"Ogle County, Illinois",50793,32094,17,141,2020
"Perry County, Illinois",21092,29118,17,145,2020
"Piatt County, Illinois",16412,37571,17,147,2020
"Pope County, Illinois",4177,24922,17,151,2020
"Pulaski County, Illinois",5414,22753,17,153,2020
"Randolph County, Illinois",31973,30458,17,157,2020
"Richland County, Illinois",15677,29761,17,159,2020
"St. Clair County, Illinois",261186,31199,17,163,2020
"Sangamon County, Illinois",195963,35497,17,167,2020
"Schuyler County, Illinois",6897,29844,17,169,2020
"Shelby County, Illinois",21623,31230,17,173,2020
"Stark County, Illinois",5393,29952,17,175,2020
"Tazewell County, Illinois",132524,35587,17,179,2020
"Union County, Illinois",16829,29519,17,181,2020
"Wabash County, Illinois",11390,27639,17,185,2020
"Warren County, Illinois",16981,27616,17,187,2020
"Wayne County, Illinois",16309,29619,17,191,2020
"Whiteside County, Illinois",55583,30354,17,195,2020
"Will County, Illinois",689704,39027,17,197,2020
"Winnebago County, Illinois",283635,29277,17,201,2020
"Woodford County, Illinois",38503,36173,17,203,2020
"Adams County, Illinois",65670,31638,17,001,2020
"Bond County, Illinois",16520,28018,17,005,2020
"Bureau County, Illinois",32878,29335,17,011,2020
"Cass County, Illinois",12324,31048,17,017,2020
"Christian County, Illinois",32705,31180,17,021,2020
"Clinton County, Illinois",37549,35410,17,027,2020
"Crawford County, Illinois",18833,27027,17,033,2020
"De Witt County, Illinois",15764,31261,17,039,2020
"DuPage County, Illinois",926005,43245,17,043,2020
"Effingham County, Illinois",34151,31375,17,049,2020
"Franklin County, Illinois",38688,23978,17,055,2020
"Greene County, Illinois",12988,27248,17,061,2020
"Hamilton County, Illinois",8151,29603,17,065,2020
"Henderson County, Illinois",6737,29453,17,071,2020
"Jackson County, Illinois",57517,23224,17,077,2020
"Marion County, Illinois",37524,27968,17,121,2020
"Massac County, Illinois",14041,24547,17,127,2020
"Monroe County, Illinois",34444,42899,17,133,2020
"Moultrie County, Illinois",14557,33638,17,139,2020
"Peoria County, Illinois",181111,30847,17,143,2020
"Pike County, Illinois",15571,27095,17,149,2020
"Putnam County, Illinois",5720,32649,17,155,2020
"Rock Island County, Illinois",142801,31381,17,161,2020
"Saline County, Illinois",23735,26051,17,165,2020
"Scott County, Illinois",4982,31773,17,171,2020
"Stephenson County, Illinois",44683,28609,17,177,2020
"Vermilion County, Illinois",76704,27880,17,183,2020
"Washington County, Illinois",13967,36405,17,189,2020
"White County, Illinois",13712,25257,17,193,2020
"Williamson County, Illinois",66929,29919,17,199,2020
"Adams County, Illinois",65878,33109,17,001,2021
"Alexander County, Illinois",5488,22438,17,003,2021
"Bond County, Illinois",16804,28537,17,005,2021
"Boone County, Illinois",53592,33292,17,007,2021
"Brown County, Illinois",6330,32854,17,009,2021
"Bureau County, Illinois",33338,30959,17,011,2021
"Calhoun County, Illinois",4537,26894,17,013,2021
"Carroll County, Illinois",15586,29231,17,015,2021
"Cass County, Illinois",13058,31429,17,017,2021
"Champaign County, Illinois",206583,31422,17,019,2021
"Christian County, Illinois",34038,31195,17,021,2021
"Clark County, Illinois",15587,35581,17,023,2021
"Clay County, Illinois",13313,29446,17,025,2021
"Clinton County, Illinois",37048,38106,17,027,2021
"Coles County, Illinois",47542,25922,17,029,2021
"Cook County, Illinois",5265398,37760,17,031,2021
"Crawford County, Illinois",18825,30756,17,033,2021
"Cumberland County, Illinois",10528,31852,17,035,2021
"DeKalb County, Illinois",100922,30775,17,037,2021
"De Witt County, Illinois",15653,32979,17,039,2021
"Douglas County, Illinois",19708,31588,17,041,2021
"DuPage County, Illinois",934094,45790,17,043,2021
"Edgar County, Illinois",16998,29653,17,045,2021
"Edwards County, Illinois",6233,31081,17,047,2021
"Effingham County, Illinois",34576,34397,17,049,2021
"Fayette County, Illinois",21514,24689,17,051,2021
"Ford County, Illinois",13589,30891,17,053,2021
"Franklin County, Illinois",38068,26253,17,055,2021
"Fulton County, Illinois",34022,29605,17,057,2021
"Gallatin County, Illinois",5038,29462,17,059,2021
"Greene County, Illinois",12187,28358,17,061,2021
"Grundy County, Illinois",52364,42118,17,063,2021
"Hamilton County, Illinois",8021,30305,17,065,2021
"Hancock County, Illinois",17750,31729,17,067,2021
"Hardin County, Illinois",3700,26225,17,069,2021
"Henderson County, Illinois",6485,30345,17,071,2021
"Henry County, Illinois",49412,33249,17,073,2021
"Iroquois County, Illinois",27362,28973,17,075,2021
"Jackson County, Illinois",53676,24208,17,077,2021
"Jasper County, Illinois",9324,30879,17,079,2021
"Jefferson County, Illinois",37362,30010,17,081,2021
"Jersey County, Illinois",21533,33456,17,083,2021
"Jo Daviess County, Illinois",21995,34061,17,085,2021
"Johnson County, Illinois",13238,28864,17,087,2021
"Kane County, Illinois",518648,38588,17,089,2021
"Kankakee County, Illinois",108104,30750,17,091,2021
"Kendall County, Illinois",130757,44781,17,093,2021
"Knox County, Illinois",50193,26323,17,095,2021
"Lake County, Illinois",714484,41213,17,097,2021
"LaSalle County, Illinois",109986,33000,17,099,2021
"Lawrence County, Illinois",15465,29145,17,101,2021
"Lee County, Illinois",34373,32922,17,103,2021
"Livingston County, Illinois",35902,32536,17,105,2021
"Logan County, Illinois",28238,33551,17,107,2021
"McDonough County, Illinois",27743,23194,17,109,2021
"McHenry County, Illinois",310749,42409,17,111,2021
"McLean County, Illinois",171455,36884,17,113,2021
"Macon County, Illinois",104331,31788,17,115,2021
"Macoupin County, Illinois",45152,30739,17,117,2021
"Madison County, Illinois",266112,35510,17,119,2021
"Marion County, Illinois",37781,28974,17,121,2021
"Marshall County, Illinois",11781,30818,17,123,2021
"Mason County, Illinois",13225,30714,17,125,2021
"Massac County, Illinois",14280,26639,17,127,2021
"Menard County, Illinois",12343,42185,17,129,2021
"Mercer County, Illinois",15779,32881,17,131,2021
"Monroe County, Illinois",34732,43410,17,133,2021
"Montgomery County, Illinois",28482,29800,17,135,2021
"Morgan County, Illinois",33189,30882,17,137,2021
"Moultrie County, Illinois",14634,33865,17,139,2021
"Ogle County, Illinois",51787,34060,17,141,2021
"Peoria County, Illinois",182439,33013,17,143,2021
"Perry County, Illinois",21158,27888,17,145,2021
"Piatt County, Illinois",16664,39069,17,147,2021
"Pike County, Illinois",14923,29391,17,149,2021
"Pope County, Illinois",3820,28529,17,151,2021
"Pulaski County, Illinois",5279,23721,17,153,2021
"Putnam County, Illinois",5638,32964,17,155,2021
"Randolph County, Illinois",30632,32479,17,157,2021
"Richland County, Illinois",15876,29809,17,159,2021
"Rock Island County, Illinois",144694,32577,17,161,2021
"St. Clair County, Illinois",258597,33092,17,163,2021
"Saline County, Illinois",23869,26905,17,165,2021
"Sangamon County, Illinois",196759,37965,17,167,2021
"Schuyler County, Illinois",6953,28983,17,169,2021
"Scott County, Illinois",4923,33441,17,171,2021
"Shelby County, Illinois",21160,33288,17,173,2021
"Stark County, Illinois",5436,31333,17,175,2021
"Stephenson County, Illinois",44817,29657,17,177,2021
"Tazewell County, Illinois",131977,37017,17,179,2021
"Union County, Illinois",17259,28905,17,181,2021
"Vermilion County, Illinois",74953,29884,17,183,2021
"Wabash County, Illinois",11414,28753,17,185,2021
"Warren County, Illinois",16887,30014,17,187,2021
"Washington County, Illinois",13827,37779,17,189,2021
"Wayne County, Illinois",16250,29665,17,191,2021
"White County, Illinois",13959,26601,17,193,2021
"Whiteside County, Illinois",55932,31763,17,195,2021
"Will County, Illinois",696403,41438,17,197,2021
"Williamson County, Illinois",67271,31237,17,199,2021
"Winnebago County, Illinois",285471,31043,17,201,2021
"Woodford County, Illinois",38571,38144,17,203,2021
"Adams County, Illinois",65583,36158,17,001,2022
"Alexander County, Illinois",5261,25580,17,003,2022
"Bond County, Illinois",16750,32100,17,005,2022
"Boone County, Illinois",53459,36920,17,007,2022
"Brown County, Illinois",6334,37868,17,009,2022
"Bureau County, Illinois",33203,33298,17,011,2022
"Calhoun County, Illinois",4472,29840,17,013,2022
"Carroll County, Illinois",15594,32594,17,015,2022
"Cass County, Illinois",12955,33910,17,017,2022
"Champaign County, Illinois",206525,34092,17,019,2022
"Christian County, Illinois",33893,32901,17,021,2022
"Clark County, Illinois",15467,36446,17,023,2022
"Clay County, Illinois",13248,32924,17,025,2022
"Clinton County, Illinois",36998,41097,17,027,2022
"Coles County, Illinois",47076,29422,17,029,2022
"Cook County, Illinois",5225367,41271,17,031,2022
"Crawford County, Illinois",18729,34443,17,033,2022
"Cumberland County, Illinois",10447,34639,17,035,2022
"DeKalb County, Illinois",100686,33165,17,037,2022
"De Witt County, Illinois",15535,36286,17,039,2022
"Douglas County, Illinois",19714,34678,17,041,2022
"DuPage County, Illinois",930559,49768,17,043,2022
"Edgar County, Illinois",16852,31711,17,045,2022
"Edwards County, Illinois",6182,32985,17,047,2022
"Effingham County, Illinois",34594,37781,17,049,2022
"Fayette County, Illinois",21464,28704,17,051,2022
"Ford County, Illinois",13484,33373,17,053,2022
"Franklin County, Illinois",37810,28227,17,055,2022
"Fulton County, Illinois",33691,32440,17,057,2022
"Gallatin County, Illinois",4967,31133,17,059,2022
"Greene County, Illinois",12015,29811,17,061,2022
"Grundy County, Illinois",52624,45398,17,063,2022
"Hamilton County, Illinois",8008,32195,17,065,2022
"Hancock County, Illinois",17582,34542,17,067,2022
"Hardin County, Illinois",3665,28762,17,069,2022
"Henderson County, Illinois",6374,34762,17,071,2022
"Henry County, Illinois",49157,36643,17,073,2022
"Iroquois County, Illinois",27043,33239,17,075,2022
"Jackson County, Illinois",53176,26124,17,077,2022
"Jasper County, Illinois",9295,35815,17,079,2022
"Jefferson County, Illinois",37043,32441,17,081,2022
"Jersey County, Illinois",21462,34923,17,083,2022
"Jo Daviess County, Illinois",21942,38281,17,085,2022
"Johnson County, Illinois",13313,31816,17,087,2022
"Kane County, Illinois",517254,41711,17,089,2022
"Kankakee County, Illinois",107421,33825,17,091,2022
"Kendall County, Illinois",132795,48131,17,093,2022
"Knox County, Illinois",49751,29089,17,095,2022
"Lake County, Illinois",713159,44793,17,097,2022
"LaSalle County, Illinois",109495,36030,17,099,2022
"Lawrence County, Illinois",15302,31444,17,101,2022
"Lee County, Illinois",34221,34436,17,103,2022
"Livingston County, Illinois",35771,36291,17,105,2022
"Logan County, Illinois",28027,35662,17,107,2022
"McDonough County, Illinois",27370,25698,17,109,2022
"McHenry County, Illinois",311133,45617,17,111,2022
"McLean County, Illinois",171284,40142,17,113,2022
"Macon County, Illinois",103542,35132,17,115,2022
"Macoupin County, Illinois",44907,34404,17,117,2022
"Madison County, Illinois",265512,38449,17,119,2022
"Marion County, Illinois",37543,32037,17,121,2022
"Marshall County, Illinois",11740,34258,17,123,2022
"Mason County, Illinois",13074,33183,17,125,2022
"Massac County, Illinois",14135,27908,17,127,2022
"Menard County, Illinois",12284,43792,17,129,2022
"Mercer County, Illinois",15692,36721,17,131,2022
"Monroe County, Illinois",34905,47216,17,133,2022
"Montgomery County, Illinois",28352,31353,17,135,2022
"Morgan County, Illinois",32882,34847,17,137,2022
"Moultrie County, Illinois",14531,36021,17,139,2022
"Ogle County, Illinois",51672,37222,17,141,2022
"Peoria County, Illinois",181186,36070,17,143,2022
"Perry County, Illinois",20996,29626,17,145,2022
"Piatt County, Illinois",16698,43701,17,147,2022
"Pike County, Illinois",14776,32554,17,149,2022
"Pope County, Illinois",3799,29688,17,151,2022
"Pulaski County, Illinois",5177,24826,17,153,2022
"Putnam County, Illinois",5628,36643,17,155,2022
"Randolph County, Illinois",30413,35002,17,157,2022
"Richland County, Illinois",15716,33116,17,159,2022
"Rock Island County, Illinois",143819,35841,17,161,2022
"St. Clair County, Illinois",256791,36450,17,163,2022
"Saline County, Illinois",23662,29669,17,165,2022
"Sangamon County, Illinois",196122,41399,17,167,2022
"Schuyler County, Illinois",6879,31300,17,169,2022
"Scott County, Illinois",4899,36741,17,171,2022
"Shelby County, Illinois",21042,35677,17,173,2022
"Stark County, Illinois",5395,33642,17,175,2022
"Stephenson County, Illinois",44482,31822,17,177,2022
"Tazewell County, Illinois",131276,40183,17,179,2022
"Union County, Illinois",17122,29902,17,181,2022
"Vermilion County, Illinois",74113,32990,17,183,2022
"Wabash County, Illinois",11321,30782,17,185,2022
"Warren County, Illinois",16760,33470,17,187,2022
"Washington County, Illinois",13781,39941,17,189,2022
"Wayne County, Illinois",16127,30862,17,191,2022
"White County, Illinois",13834,28272,17,193,2022
"Whiteside County, Illinois",55569,34399,17,195,2022
"Will County, Illinois",696774,45110,17,197,2022
"Williamson County, Illinois",67120,35251,17,199,2022
"Winnebago County, Illinois",284591,33624,17,201,2022
"Woodford County, Illinois",38414,41510,17,203,2022
